workerid,proliferate.condition,age,american,comments,gender,language,error
1637,default,19,Yes,none,Female,English,
1607,default,43,Yes,It was fun!,Female,English,
1576,default,19,Yes,,Female,ENGLIDH ,
1587,default,28,Yes,,Female,English,
1565,default,29,Yes,,Female,English,
1518,default,24,Yes,,Female,english,
1671,default,34,Yes,,Male,English,
1582,default,24,Yes,,Female,English,
1579,default,29,Yes,n/a,Female,English,
1533,default,23,Yes,,Male,English,
1599,default,26,Yes,no comments,Female,English,
1707,default,24,Yes,,Male,English,
1687,default,39,Yes,,Female,English,
1489,default,19,Yes,,Female,English,
1586,default,26,Yes,,Female,english,
1475,default,48,Yes,I am filling this chapter for ease. I had no difficulty in finishing the study. I was completely attentive while doing this chapter. I am very happy to study this.,Male,english,
1535,default,29,Yes,A lot of these were a bit confusing. I've been speaking English my entire life and still had a little trouble on some of them!,Female,English,
1701,default,44,Yes,well,Male,english,
1635,default,18,Yes,,Female,English,
1617,default,29,Yes,,Female,English,
1566,default,26,Yes,,Female,English,
1664,default,22,Yes,,Female,english,
1568,default,28,Yes,,Male,English,
1574,default,22,Yes,,Female,English,
1614,default,20,Yes,,Female,english,
1478,default,33,Yes,,Female,"English, German",
1468,default,21,Yes,,Female,English,
1618,default,26,Yes,,Male,English,
1595,default,31,Yes,"I was curious to know if a person wrote these sentences or a computer program did. In particular, the sentence stating that I made the pizza, but I also do not know what topping is on it, was rather strange.",Female,English,
1531,default,30,Yes,,Female,English,
1638,default,22,Yes,,Female,Englsih,
1600,default,19,Yes,,Female,English,
1676,default,22,Yes,,Female,english,
1615,default,19,Yes,,Female,English,
1511,default,23,Yes,,Female,English,
1547,default,25,Yes,,Male,English,
1537,default,28,Yes,,Female,English,
1624,default,21,Yes,This is an interesting survey. I am curious to know what you are specifically studying. Good luck and thank you for letting me participate.,Female,english,
1714,default,26,Yes,,Female,English,
1683,default,22,Yes,,Female,English,
1476,default,24,Yes,,Female,English,
1652,default,37,Yes,I got very confused on the 2nd half of the survey. I feel like we need more context to know what they know. Or maybe I'm just really bad at logic!,Female,English,
1631,default,40,Yes,It's interesting,Female,English,
1556,default,21,Yes,,Female,English,
1572,default,20,Yes,,Female,English,
1650,default,29,Yes,no comments,Male,english,
1665,default,31,Yes,I would like to know what the purpose of this survey is :),Female,english,
1621,default,22,Yes,,Female,English,
1500,default,34,Yes,,Male,English,
