rt,response,trial_type,trial_index,time_elapsed,internal_node_id,correct,stimulus,question_order,accuracy,participant_id,ctime
7726,"{""<b>Leo:</b> <em> The manager reported Ann, who stole the money.</em><br><br><b>Grace:</b>"":""<em>No, she didn't steal the money.</em>""}",survey-multi-choice,8,75431,0.0-7.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
3697,"{""<b>Charlotte:</b> <em> Sophia confirmed that Jack saw the murder.</em><br><br><b>Nina:</b>"":""<em>No, he didn't see the murder.</em>""}",survey-multi-choice,9,79131,0.0-8.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
8926,"{""<b>Bob:</b> <em> Linda knows that Danny ate the last cupcake.</em><br><br><b>William:</b>"":""<em>No, he didn't eat the last cupcake.</em>""}",survey-multi-choice,10,88059,0.0-9.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
7710,"{""<b>Steven:</b> <em> Emma confessed that Raul cheated on his wife.</em><br><br><b>Alice:</b>"":""<em>No, he didn't cheat on his wife.</em>""}",survey-multi-choice,11,95771,0.0-10.0,NA,NA,[0],NA,e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
12410,"{""P0_Q0"":null,""age"":""30"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""comments"":""none""}",survey,12,108237,0.0-11.0,NA,NA,NA,[],e92bae3a-491c-4ce3-8c3d-14361ff60488,2024-08-07 17:25:30 CEST
6898,"{""Q0"":""Patricia""}",survey-text,0,6932,0.0-0.0-0.0,TRUE,NA,NA,NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
1817,0,html-button-response,1,8752,0.0-0.0-3.0-0.0,NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
24866,0,html-button-response,2,33622,0.0-1.0,NA,"<style>.jsPsych-servey-multi-choice-button {border-radius: 50%;               background-color: white;               border: 0.1px solid #000000;               box-shadow: none;               width: 14px;               height: 14px;               margin-bottom: 5px;               margin-top: 2px;               margin-right: 9px;               color: darked;  }               </style>  <h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read nine statements by a speaker, as in the example below, where Candy makes a statement. You will then read three possible responses, here by Lenny.</p>  <p style='text-align:left'> <b>Candy</b>: <i>Jens thinks that it is going to rain tomorrow. </i> <br> <b>Lenny</b>: <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>1.<i> No, it is not going to rain tomorrow. </i> <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>2. <i> Yes, and it is not going to rain tomorrow.</i> <br> <button class='jsPsych-servey-multi-choice-button' disabled></button>3.<i> Yes, but it is not going to rain tomorrow.</i></p>  <p style='text-align:left'>We ask you to choose the response that sounds best to you by selecting the button in front of the response.</p>  <p style='text-align:left'>This experiment will take around 2 minutes, and you will be paid 40 cents.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below, you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at st180735@stud.uni-stuttgart.de.</p>",NA,NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
12662,"{""<b>Mary:</b><em> Arthur took a French course.</em><br><br><b>Lily:</b>"":""<em>No, he didn't take a French course.</em><br> <br> Please choose the response by Lily that sounds best to you.""}",survey-multi-choice,3,46292,0.0-2.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
6052,"{""<b>Bob:</b> <em> Linda confirmed that Danny ate the last cupcake.</em><br><br><b>Alice:</b>"":""<em>No, he didn't eat the last cupcake.</em><br><br>Please choose the response by Alice that sounds best to you.""}",survey-multi-choice,4,52356,0.0-3.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
3773,"{""<b>Nora:</b> <em> Tony knows that Lucy broke the plate.</em><br><br><b>Steven:</b>"":""<em>Yes, but she didn't break the plate.</em><br><br>Please choose the response by Steven that sounds best to you.""}",survey-multi-choice,5,56137,0.0-4.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
3072,"{""<b>Dawn:</b> <em> Emma is right that Raul cheated on his wife.</em><br><br><b>Ken:</b>"":""<em>No, he didn't cheat on his wife.</em>""}",survey-multi-choice,6,59217,0.0-5.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
2483,"{""<b>Leo:</b> <em> Sophia confessed that Jack saw the murder.</em><br><br><b>Nina:</b>"":""<em>No, he didn't see the murder.</em>""}",survey-multi-choice,7,61705,0.0-6.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
3976,"{""<b>Robert:</b><em> Betsy has a cat. </em><br><br><b>Maximilian:</b>"":""<em>Yes, and she loves it so much.</em><br> <br> Please choose the response by Maximilian that sounds best to you.""}",survey-multi-choice,8,65688,0.0-7.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
3577,"{""<b>Charlotte:</b> <em> The neighbor envies Greg, who bought a new car.</em><br><br><b>Isabel:</b>"":""<em>No, he didn't buy a new car.</em>""}",survey-multi-choice,9,69269,0.0-8.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
3035,"{""<b>Charlie:</b> <em> Patricia discovered that Dustin lost his key.</em><br><br><b>Clare:</b>"":""<em>No, he didn't lose his key.</em>""}",survey-multi-choice,10,72309,0.0-9.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
3668,"{""<b>Oliver:</b> <em> Ann, who stole the money, was caught by the police.</em><br><br><b>Vincent:</b>"":""<em>No, she didn't steal the money.</em>""}",survey-multi-choice,11,75984,0.0-10.0,NA,NA,[0],NA,9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
7373,"{""P0_Q0"":null,""age"":""34"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}",survey,12,83476,0.0-11.0,NA,NA,NA,[],9fd505cb-b3e0-42c9-b574-a6165a355c77,2024-08-07 17:27:57 CEST
