question_type,workerid,slide_number_in_experiment,trigger_class,block,short_trigger,trigger,content,response,rt,Answer.time_in_minutes
ai,1,7,MC,block1,MC,MC,hat,0.99,5682,7.555666666666666
ai,1,8,C,block1,inform,inform,josie,0.02,7144,7.555666666666666
ai,1,9,C,block1,know,know,grace,0.02,5717,7.555666666666666
ai,1,10,C,block1,see,see,frank,0.02,6006,7.555666666666666
ai,1,11,C,block1,pretend,pretend,jayden,0.01,9827,7.555666666666666
ai,1,12,C,block1,acknowledge,acknowledge,charley,0.02,6510,7.555666666666666
ai,1,13,MC,block1,MC,MC,pizza,0.99,7109,7.555666666666666
ai,1,14,C,block1,reveal,reveal,emily,0.01,6518,7.555666666666666
ai,1,15,MC,block1,MC,MC,garage,0.99,6006,7.555666666666666
ai,1,16,C,block1,demonstrate,demonstrate,jon,0.01,5566,7.555666666666666
ai,1,17,C,block1,be_annoyed,be_annoyed,zoe,0,6741,7.555666666666666
ai,1,18,C,block1,establish,establish,owen,0.02,6569,7.555666666666666
ai,1,19,C,block1,confess,confess,sophia,0.01,5667,7.555666666666666
ai,1,20,MC,block1,MC,MC,muffins,0.99,5624,7.555666666666666
ai,1,21,MC,block1,MC,MC,ballet,0.99,5163,7.555666666666666
ai,1,22,C,block1,confirm,confirm,jackson,0.01,5386,7.555666666666666
ai,1,23,C,block1,hear,hear,danny,0.01,5818,7.555666666666666
ai,1,24,C,block1,discover,discover,emma,0.01,8227,7.555666666666666
ai,1,25,C,block1,say,say,isabella,0,6640,7.555666666666666
ai,1,26,C,block1,admit,admit,mary,0.02,4607,7.555666666666666
ai,1,27,C,block1,think,think,mia,0.01,5530,7.555666666666666
ai,1,28,C,block1,be_right,be_right,tony,0.02,4651,7.555666666666666
ai,1,29,MC,block1,MC,MC,kids,0.99,9854,7.555666666666666
ai,1,30,C,block1,announce,announce,julian,0,6143,7.555666666666666
projective,1,32,C,block2,be_right,be_right,tony,0,7079,7.555666666666666
projective,1,33,C,block2,confirm,confirm,jackson,0.01,4976,7.555666666666666
projective,1,34,MC,block2,MC,MC,pizza,0.01,6375,7.555666666666666
projective,1,35,C,block2,be_annoyed,be_annoyed,zoe,0.99,11009,7.555666666666666
projective,1,36,C,block2,discover,discover,emma,0.99,13071,7.555666666666666
projective,1,37,C,block2,demonstrate,demonstrate,jon,0.01,14478,7.555666666666666
projective,1,38,C,block2,establish,establish,owen,0.01,5624,7.555666666666666
projective,1,39,C,block2,inform,inform,josie,0.76,7088,7.555666666666666
projective,1,40,C,block2,hear,hear,danny,0.98,7275,7.555666666666666
projective,1,41,C,block2,prove,prove,josh,0,7419,7.555666666666666
projective,1,42,C,block2,reveal,reveal,emily,0.01,7197,7.555666666666666
projective,1,43,C,block2,see,see,frank,0.98,4773,7.555666666666666
projective,1,44,C,block2,know,know,grace,0.99,5942,7.555666666666666
projective,1,45,C,block2,admit,admit,mary,0.99,6122,7.555666666666666
projective,1,46,C,block2,confess,confess,sophia,0.74,5580,7.555666666666666
projective,1,47,MC,block2,MC,MC,kids,0.02,6288,7.555666666666666
projective,1,48,MC,block2,MC,MC,ballet,0.02,4529,7.555666666666666
projective,1,49,C,block2,acknowledge,acknowledge,charley,0.3,11160,7.555666666666666
projective,1,50,C,block2,pretend,pretend,jayden,0.27,5833,7.555666666666666
projective,1,51,MC,block2,MC,MC,muffins,0.01,5322,7.555666666666666
projective,1,52,MC,block2,MC,MC,hat,0.01,3851,7.555666666666666
projective,1,53,C,block2,say,say,isabella,0.01,7859,7.555666666666666
projective,1,54,C,block2,think,think,mia,0.01,6237,7.555666666666666
projective,1,55,C,block2,suggest,suggest,olivia,0.02,5011,7.555666666666666
projective,1,56,C,block2,announce,announce,julian,0.01,5250,7.555666666666666
projective,1,57,MC,block2,MC,MC,garage,0.01,4946,7.555666666666666
ai,2,5,MC,block1,MC,MC,kids,0.9,2618,8.745616666666667
ai,2,6,C,block1,pretend,pretend,grace,0.78,10953,8.745616666666667
ai,2,7,C,block1,reveal,reveal,owen,0.83,6812,8.745616666666667
ai,2,8,C,block1,prove,prove,olivia,0.98,6203,8.745616666666667
ai,2,9,MC,block1,MC,MC,pizza,0.94,11136,8.745616666666667
ai,2,10,C,block1,confirm,confirm,danny,0.77,5384,8.745616666666667
ai,2,11,MC,block1,MC,MC,ballet,0.84,5215,8.745616666666667
ai,2,12,C,block1,acknowledge,acknowledge,charley,0.93,9880,8.745616666666667
ai,2,13,MC,block1,MC,MC,garage,0.9,102690,8.745616666666667
ai,2,14,C,block1,establish,establish,emma,0.71,1095,8.745616666666667
ai,2,15,C,block1,suggest,suggest,josie,0.99,1359,8.745616666666667
ai,2,16,C,block1,inform,inform,emily,0.82,960,8.745616666666667
ai,2,17,C,block1,be_annoyed,be_annoyed,jackson,0.69,856,8.745616666666667
ai,2,18,C,block1,announce,announce,isabella,0.83,976,8.745616666666667
ai,2,19,C,block1,know,know,mary,0.96,1560,8.745616666666667
ai,2,20,C,block1,be_right,be_right,sophia,0.75,1376,8.745616666666667
ai,2,21,C,block1,see,see,zoe,0.79,1079,8.745616666666667
ai,2,22,C,block1,think,think,frank,0.95,1056,8.745616666666667
ai,2,23,C,block1,confess,confess,tony,0.77,1120,8.745616666666667
ai,2,24,C,block1,hear,hear,josh,0.97,1087,8.745616666666667
ai,2,25,C,block1,say,say,jayden,0.83,1718,8.745616666666667
ai,2,26,C,block1,admit,admit,julian,0.74,994,8.745616666666667
ai,2,27,C,block1,demonstrate,demonstrate,jon,0.96,1304,8.745616666666667
ai,2,28,MC,block1,MC,MC,hat,0.89,1232,8.745616666666667
ai,2,29,C,block1,discover,discover,mia,0.81,1176,8.745616666666667
ai,2,30,MC,block1,MC,MC,muffins,0.92,1192,8.745616666666667
projective,2,32,C,block2,suggest,suggest,josie,0.73,1799,8.745616666666667
projective,2,33,C,block2,confess,confess,tony,0.93,1441,8.745616666666667
projective,2,34,C,block2,acknowledge,acknowledge,charley,0.8,1016,8.745616666666667
projective,2,35,C,block2,be_annoyed,be_annoyed,jackson,0.96,1527,8.745616666666667
projective,2,36,C,block2,be_right,be_right,sophia,0.76,1656,8.745616666666667
projective,2,37,MC,block2,MC,MC,pizza,0.93,1400,8.745616666666667
projective,2,38,C,block2,see,see,zoe,0.77,1449,8.745616666666667
projective,2,39,C,block2,establish,establish,emma,0.88,1447,8.745616666666667
projective,2,40,C,block2,pretend,pretend,grace,0.7,984,8.745616666666667
projective,2,41,C,block2,reveal,reveal,owen,0.82,1024,8.745616666666667
projective,2,42,C,block2,hear,hear,josh,0.92,1318,8.745616666666667
projective,2,43,C,block2,discover,discover,mia,0.76,1057,8.745616666666667
projective,2,44,C,block2,know,know,mary,0.83,1384,8.745616666666667
projective,2,45,MC,block2,MC,MC,hat,0.92,1280,8.745616666666667
projective,2,46,C,block2,say,say,jayden,0.94,1712,8.745616666666667
projective,2,47,C,block2,admit,admit,julian,0.71,1055,8.745616666666667
projective,2,48,C,block2,announce,announce,isabella,0.89,1760,8.745616666666667
projective,2,49,C,block2,prove,prove,olivia,0.8,1800,8.745616666666667
projective,2,50,C,block2,think,think,frank,0.92,20954,8.745616666666667
projective,2,51,MC,block2,MC,MC,garage,0.73,1144,8.745616666666667
projective,2,52,MC,block2,MC,MC,kids,0.96,1655,8.745616666666667
projective,2,53,MC,block2,MC,MC,muffins,0.75,1120,8.745616666666667
projective,2,54,C,block2,confirm,confirm,danny,0.92,1463,8.745616666666667
projective,2,55,C,block2,demonstrate,demonstrate,jon,0.74,1472,8.745616666666667
projective,2,56,MC,block2,MC,MC,ballet,0.93,1416,8.745616666666667
projective,2,57,C,block2,inform,inform,emily,0.76,1208,8.745616666666667
ai,3,5,C,block1,be_annoyed,be_annoyed,josie,0.06,10702,11.709466666666666
ai,3,6,C,block1,prove,prove,jon,0.75,6701,11.709466666666666
ai,3,7,C,block1,see,see,charley,0.04,6184,11.709466666666666
ai,3,8,C,block1,demonstrate,demonstrate,zoe,0.75,5611,11.709466666666666
ai,3,9,C,block1,think,think,josh,0.07,9329,11.709466666666666
ai,3,10,C,block1,confirm,confirm,jayden,0.86,5940,11.709466666666666
ai,3,11,C,block1,confess,confess,jackson,0.18,6582,11.709466666666666
ai,3,12,C,block1,suggest,suggest,mia,0.87,6810,11.709466666666666
ai,3,13,C,block1,admit,admit,danny,0.06,5175,11.709466666666666
ai,3,14,C,block1,discover,discover,olivia,0.06,6925,11.709466666666666
ai,3,15,MC,block1,MC,MC,muffins,1,7919,11.709466666666666
ai,3,16,C,block1,pretend,pretend,tony,0.07,7762,11.709466666666666
ai,3,17,C,block1,know,know,emma,0.28,9799,11.709466666666666
ai,3,18,MC,block1,MC,MC,hat,1,7719,11.709466666666666
ai,3,19,C,block1,reveal,reveal,emily,0.18,11854,11.709466666666666
ai,3,20,C,block1,hear,hear,grace,0.09,8103,11.709466666666666
ai,3,21,C,block1,say,say,isabella,0.92,10754,11.709466666666666
ai,3,22,C,block1,announce,announce,julian,0.69,8527,11.709466666666666
ai,3,23,MC,block1,MC,MC,pizza,1,5488,11.709466666666666
ai,3,24,MC,block1,MC,MC,kids,1,7706,11.709466666666666
ai,3,25,C,block1,acknowledge,acknowledge,sophia,0.09,7208,11.709466666666666
ai,3,26,MC,block1,MC,MC,garage,1,11022,11.709466666666666
ai,3,27,C,block1,inform,inform,frank,0.1,21616,11.709466666666666
ai,3,28,MC,block1,MC,MC,ballet,1,5486,11.709466666666666
ai,3,29,C,block1,establish,establish,owen,0.73,39618,11.709466666666666
ai,3,30,C,block1,be_right,be_right,mary,1,12383,11.709466666666666
projective,3,32,MC,block2,MC,MC,pizza,0,4759,11.709466666666666
projective,3,33,C,block2,prove,prove,jon,0.25,7175,11.709466666666666
projective,3,34,MC,block2,MC,MC,muffins,0,5442,11.709466666666666
projective,3,35,C,block2,demonstrate,demonstrate,zoe,0.2,6670,11.709466666666666
projective,3,36,MC,block2,MC,MC,ballet,0,5258,11.709466666666666
projective,3,37,C,block2,announce,announce,julian,0.29,11543,11.709466666666666
projective,3,38,C,block2,hear,hear,grace,0.88,207335,11.709466666666666
projective,3,39,C,block2,suggest,suggest,mia,0.26,14632,11.709466666666666
projective,3,40,MC,block2,MC,MC,garage,0,11391,11.709466666666666
projective,3,41,C,block2,pretend,pretend,tony,0.12,17855,11.709466666666666
projective,3,42,C,block2,be_right,be_right,mary,0,4628,11.709466666666666
projective,3,43,C,block2,confess,confess,jackson,0.35,9462,11.709466666666666
projective,3,44,C,block2,admit,admit,danny,1,13826,11.709466666666666
projective,3,45,C,block2,see,see,charley,0.88,5413,11.709466666666666
projective,3,46,C,block2,inform,inform,frank,0.92,7869,11.709466666666666
projective,3,47,C,block2,be_annoyed,be_annoyed,josie,1,15735,11.709466666666666
projective,3,48,C,block2,think,think,josh,0.16,8443,11.709466666666666
projective,3,49,C,block2,know,know,emma,1,8761,11.709466666666666
projective,3,50,MC,block2,MC,MC,kids,0,7975,11.709466666666666
projective,3,51,C,block2,discover,discover,olivia,0.95,5904,11.709466666666666
projective,3,52,MC,block2,MC,MC,hat,0,4581,11.709466666666666
projective,3,53,C,block2,acknowledge,acknowledge,sophia,1,7037,11.709466666666666
projective,3,54,C,block2,reveal,reveal,emily,0.89,5612,11.709466666666666
projective,3,55,C,block2,confirm,confirm,jayden,0.88,5762,11.709466666666666
projective,3,56,C,block2,establish,establish,owen,0.08,5793,11.709466666666666
projective,3,57,C,block2,say,say,isabella,0,4176,11.709466666666666
projective,4,5,C,block1,confirm,confirm,emily,0.01,27686,14.705083333333333
projective,4,6,C,block1,acknowledge,acknowledge,grace,0.01,12293,14.705083333333333
projective,4,7,C,block1,discover,discover,isabella,0.99,22394,14.705083333333333
projective,4,8,C,block1,suggest,suggest,mia,0.01,11720,14.705083333333333
projective,4,9,C,block1,pretend,pretend,owen,0.01,23430,14.705083333333333
projective,4,10,MC,block1,MC,MC,kids,0,10524,14.705083333333333
projective,4,11,MC,block1,MC,MC,muffins,0.01,10370,14.705083333333333
projective,4,12,C,block1,admit,admit,tony,0.01,25390,14.705083333333333
projective,4,13,C,block1,reveal,reveal,danny,0,11606,14.705083333333333
projective,4,14,C,block1,see,see,olivia,0.92,35141,14.705083333333333
projective,4,15,C,block1,inform,inform,julian,0.01,10725,14.705083333333333
projective,4,16,C,block1,confess,confess,zoe,0.05,12134,14.705083333333333
projective,4,17,C,block1,announce,announce,sophia,0.01,13980,14.705083333333333
projective,4,18,C,block1,hear,hear,emma,0.74,16378,14.705083333333333
projective,4,19,MC,block1,MC,MC,garage,0.02,7836,14.705083333333333
projective,4,20,C,block1,be_annoyed,be_annoyed,jackson,0.97,12302,14.705083333333333
projective,4,21,C,block1,prove,prove,frank,0.01,9754,14.705083333333333
projective,4,22,MC,block1,MC,MC,ballet,0.02,9920,14.705083333333333
projective,4,23,C,block1,know,know,jon,0.97,8732,14.705083333333333
projective,4,24,MC,block1,MC,MC,hat,0.02,5842,14.705083333333333
projective,4,25,C,block1,establish,establish,josie,0.01,6912,14.705083333333333
projective,4,26,MC,block1,MC,MC,pizza,0.02,6028,14.705083333333333
projective,4,27,C,block1,demonstrate,demonstrate,charley,0.02,11116,14.705083333333333
projective,4,28,C,block1,say,say,josh,0.01,10477,14.705083333333333
projective,4,29,C,block1,think,think,mary,0,8228,14.705083333333333
projective,4,30,C,block1,be_right,be_right,jayden,0.02,7216,14.705083333333333
ai,4,32,MC,block2,MC,MC,hat,0.98,14751,14.705083333333333
ai,4,33,C,block2,be_annoyed,be_annoyed,jackson,0.01,20612,14.705083333333333
ai,4,34,C,block2,know,know,jon,0.02,9328,14.705083333333333
ai,4,35,C,block2,prove,prove,frank,0.98,18496,14.705083333333333
ai,4,36,C,block2,inform,inform,julian,0,19476,14.705083333333333
ai,4,37,C,block2,discover,discover,isabella,0.01,13082,14.705083333333333
ai,4,38,C,block2,confirm,confirm,emily,0.97,30284,14.705083333333333
ai,4,39,C,block2,demonstrate,demonstrate,charley,0.98,9234,14.705083333333333
ai,4,40,C,block2,think,think,mary,0.98,12200,14.705083333333333
ai,4,41,C,block2,confess,confess,zoe,0.99,17662,14.705083333333333
ai,4,42,C,block2,announce,announce,sophia,0.99,10080,14.705083333333333
ai,4,43,C,block2,hear,hear,emma,0.02,30655,14.705083333333333
ai,4,44,C,block2,reveal,reveal,danny,0.99,9704,14.705083333333333
ai,4,45,C,block2,say,say,josh,0.98,11524,14.705083333333333
ai,4,46,C,block2,acknowledge,acknowledge,grace,0.98,9542,14.705083333333333
ai,4,47,MC,block2,MC,MC,kids,1,18384,14.705083333333333
ai,4,48,C,block2,establish,establish,josie,0.97,10384,14.705083333333333
ai,4,49,MC,block2,MC,MC,garage,0.98,31852,14.705083333333333
ai,4,50,C,block2,be_right,be_right,jayden,0.98,11644,14.705083333333333
ai,4,51,C,block2,admit,admit,tony,0.97,7441,14.705083333333333
ai,4,52,C,block2,pretend,pretend,owen,0.91,14073,14.705083333333333
ai,4,53,MC,block2,MC,MC,pizza,0.99,8508,14.705083333333333
ai,4,54,C,block2,see,see,olivia,0.01,10458,14.705083333333333
ai,4,55,C,block2,suggest,suggest,mia,0.97,34198,14.705083333333333
ai,4,56,MC,block2,MC,MC,muffins,0.98,7464,14.705083333333333
ai,4,57,MC,block2,MC,MC,ballet,0.98,5950,14.705083333333333
projective,5,5,MC,block1,MC,MC,garage,0.09,7500,6.179766666666667
projective,5,6,C,block1,demonstrate,demonstrate,owen,0.19,16277,6.179766666666667
projective,5,7,C,block1,suggest,suggest,emily,0.08,7966,6.179766666666667
projective,5,8,C,block1,discover,discover,tony,1,5174,6.179766666666667
projective,5,9,C,block1,think,think,zoe,0.28,6876,6.179766666666667
projective,5,10,C,block1,inform,inform,jayden,1,7472,6.179766666666667
projective,5,11,MC,block1,MC,MC,hat,0.07,6004,6.179766666666667
projective,5,12,C,block1,confess,confess,mia,0.75,5958,6.179766666666667
projective,5,13,C,block1,prove,prove,charley,0.15,5265,6.179766666666667
projective,5,14,C,block1,say,say,jackson,0,6036,6.179766666666667
projective,5,15,MC,block1,MC,MC,ballet,0,3899,6.179766666666667
projective,5,16,C,block1,acknowledge,acknowledge,josie,1,7798,6.179766666666667
projective,5,17,C,block1,pretend,pretend,sophia,0.34,7439,6.179766666666667
projective,5,18,C,block1,confirm,confirm,isabella,0.16,5558,6.179766666666667
projective,5,19,C,block1,establish,establish,frank,0.12,4984,6.179766666666667
projective,5,20,C,block1,see,see,mary,1,3524,6.179766666666667
projective,5,21,C,block1,know,know,danny,1,5314,6.179766666666667
projective,5,22,C,block1,announce,announce,josh,0.06,8060,6.179766666666667
projective,5,23,MC,block1,MC,MC,pizza,0,5250,6.179766666666667
projective,5,24,C,block1,admit,admit,emma,0.66,7386,6.179766666666667
projective,5,25,C,block1,reveal,reveal,olivia,0.23,5531,6.179766666666667
projective,5,26,C,block1,be_annoyed,be_annoyed,grace,1,3931,6.179766666666667
projective,5,27,C,block1,be_right,be_right,julian,0.07,5595,6.179766666666667
projective,5,28,MC,block1,MC,MC,muffins,0,4246,6.179766666666667
projective,5,29,C,block1,hear,hear,jon,0.9,8162,6.179766666666667
projective,5,30,MC,block1,MC,MC,kids,0.12,5776,6.179766666666667
ai,5,32,C,block2,know,know,danny,0,8051,6.179766666666667
ai,5,33,C,block2,suggest,suggest,emily,0.88,7565,6.179766666666667
ai,5,34,C,block2,confess,confess,mia,0.03,4482,6.179766666666667
ai,5,35,C,block2,admit,admit,emma,0.19,10116,6.179766666666667
ai,5,36,MC,block2,MC,MC,garage,1,4387,6.179766666666667
ai,5,37,C,block2,announce,announce,josh,0,8884,6.179766666666667
ai,5,38,C,block2,inform,inform,jayden,0,4331,6.179766666666667
ai,5,39,MC,block2,MC,MC,muffins,1,3533,6.179766666666667
ai,5,40,C,block2,hear,hear,jon,0,3547,6.179766666666667
ai,5,41,C,block2,confirm,confirm,isabella,0.05,3657,6.179766666666667
ai,5,42,C,block2,acknowledge,acknowledge,josie,0,5062,6.179766666666667
ai,5,43,MC,block2,MC,MC,hat,1,3344,6.179766666666667
ai,5,44,C,block2,be_annoyed,be_annoyed,grace,0,6050,6.179766666666667
ai,5,45,MC,block2,MC,MC,kids,1,4073,6.179766666666667
ai,5,46,C,block2,reveal,reveal,olivia,0.66,5689,6.179766666666667
ai,5,47,C,block2,pretend,pretend,sophia,0.24,6154,6.179766666666667
ai,5,48,MC,block2,MC,MC,ballet,1,2638,6.179766666666667
ai,5,49,C,block2,discover,discover,tony,0,27029,6.179766666666667
ai,5,50,C,block2,prove,prove,charley,0.67,4708,6.179766666666667
ai,5,51,C,block2,think,think,zoe,0,3963,6.179766666666667
ai,5,52,C,block2,see,see,mary,0,3108,6.179766666666667
ai,5,53,C,block2,establish,establish,frank,0.79,4802,6.179766666666667
ai,5,54,C,block2,be_right,be_right,julian,1,6114,6.179766666666667
ai,5,55,MC,block2,MC,MC,pizza,1,2762,6.179766666666667
ai,5,56,C,block2,say,say,jackson,0.81,5565,6.179766666666667
ai,5,57,C,block2,demonstrate,demonstrate,owen,0.8,6153,6.179766666666667
projective,6,5,C,block1,admit,admit,emily,1,51991,15.497033333333333
projective,6,6,C,block1,see,see,isabella,1,20679,15.497033333333333
projective,6,7,C,block1,know,know,charley,1,12295,15.497033333333333
projective,6,8,C,block1,confess,confess,josie,1,11359,15.497033333333333
projective,6,9,C,block1,inform,inform,danny,0.31,28671,15.497033333333333
projective,6,10,MC,block1,MC,MC,hat,0,15735,15.497033333333333
projective,6,11,C,block1,hear,hear,sophia,0.68,11328,15.497033333333333
projective,6,12,C,block1,discover,discover,grace,1,11760,15.497033333333333
projective,6,13,C,block1,suggest,suggest,olivia,0.16,21161,15.497033333333333
projective,6,14,MC,block1,MC,MC,muffins,0,14511,15.497033333333333
projective,6,15,C,block1,be_right,be_right,frank,0,14391,15.497033333333333
projective,6,16,C,block1,acknowledge,acknowledge,mia,0.79,21328,15.497033333333333
projective,6,17,MC,block1,MC,MC,garage,0,14160,15.497033333333333
projective,6,18,C,block1,demonstrate,demonstrate,owen,0.7,18768,15.497033333333333
projective,6,19,C,block1,say,say,emma,0.14,13544,15.497033333333333
projective,6,20,C,block1,confirm,confirm,mary,0.19,15087,15.497033333333333
projective,6,21,MC,block1,MC,MC,pizza,0,10608,15.497033333333333
projective,6,22,C,block1,think,think,zoe,0.15,17384,15.497033333333333
projective,6,23,C,block1,announce,announce,julian,0.73,16096,15.497033333333333
projective,6,24,C,block1,prove,prove,jayden,0.09,13712,15.497033333333333
projective,6,25,MC,block1,MC,MC,kids,0,11207,15.497033333333333
projective,6,26,MC,block1,MC,MC,ballet,0,11183,15.497033333333333
projective,6,27,C,block1,establish,establish,josh,0.31,15001,15.497033333333333
projective,6,28,C,block1,pretend,pretend,jackson,0,20719,15.497033333333333
projective,6,29,C,block1,be_annoyed,be_annoyed,tony,1,14208,15.497033333333333
projective,6,30,C,block1,reveal,reveal,jon,0.85,13760,15.497033333333333
ai,6,32,MC,block2,MC,MC,kids,1,23238,15.497033333333333
ai,6,33,C,block2,establish,establish,josh,0.33,19696,15.497033333333333
ai,6,34,C,block2,pretend,pretend,jackson,0.08,10751,15.497033333333333
ai,6,35,MC,block2,MC,MC,pizza,1,30768,15.497033333333333
ai,6,36,C,block2,know,know,charley,0.05,14512,15.497033333333333
ai,6,37,C,block2,discover,discover,grace,0.17,13488,15.497033333333333
ai,6,38,C,block2,announce,announce,julian,0.83,12071,15.497033333333333
ai,6,39,MC,block2,MC,MC,garage,1,8960,15.497033333333333
ai,6,40,C,block2,see,see,isabella,0.71,13552,15.497033333333333
ai,6,41,C,block2,hear,hear,sophia,0.05,7672,15.497033333333333
ai,6,42,C,block2,inform,inform,danny,0.62,9176,15.497033333333333
ai,6,43,MC,block2,MC,MC,hat,1,4768,15.497033333333333
ai,6,44,C,block2,prove,prove,jayden,1,43488,15.497033333333333
ai,6,45,C,block2,admit,admit,emily,0,11591,15.497033333333333
ai,6,46,C,block2,think,think,zoe,0.88,7529,15.497033333333333
ai,6,47,C,block2,demonstrate,demonstrate,owen,0.13,10440,15.497033333333333
ai,6,48,C,block2,be_annoyed,be_annoyed,tony,0,6495,15.497033333333333
ai,6,49,C,block2,say,say,emma,0.93,7793,15.497033333333333
ai,6,50,C,block2,reveal,reveal,jon,0.04,10295,15.497033333333333
ai,6,51,C,block2,suggest,suggest,olivia,0.93,8776,15.497033333333333
ai,6,52,C,block2,be_right,be_right,frank,1,9328,15.497033333333333
ai,6,53,C,block2,acknowledge,acknowledge,mia,0,9448,15.497033333333333
ai,6,54,C,block2,confirm,confirm,mary,1,9295,15.497033333333333
ai,6,55,C,block2,confess,confess,josie,0.08,10176,15.497033333333333
ai,6,56,MC,block2,MC,MC,muffins,1,8464,15.497033333333333
ai,6,57,MC,block2,MC,MC,ballet,1,9799,15.497033333333333
projective,7,5,C,block1,hear,hear,mia,0,8450,7.765116666666667
projective,7,6,MC,block1,MC,MC,muffins,0,3501,7.765116666666667
projective,7,7,MC,block1,MC,MC,kids,0.01,3658,7.765116666666667
projective,7,8,MC,block1,MC,MC,garage,0,2783,7.765116666666667
projective,7,9,C,block1,see,see,josh,0.97,14329,7.765116666666667
projective,7,10,C,block1,think,think,mary,0,6336,7.765116666666667
projective,7,11,C,block1,confirm,confirm,josie,0,42050,7.765116666666667
projective,7,12,C,block1,suggest,suggest,olivia,0.51,7355,7.765116666666667
projective,7,13,C,block1,know,know,sophia,0.98,3904,7.765116666666667
projective,7,14,C,block1,say,say,jon,0.16,7760,7.765116666666667
projective,7,15,C,block1,pretend,pretend,isabella,0,65052,7.765116666666667
projective,7,16,C,block1,be_right,be_right,tony,0.48,5216,7.765116666666667
